sector,outcome,scenario,year,model_SD,weather_SD,stat_SD,all_SD
yields,wheat,rcp85,2020,0.0175220946518,0.00177696560193,0.00645053569293,0.021488900594
yields,total,rcp45,2020,0.0613093568913,0.00628544370405,0.00882194835323,0.0656015117444
crime,property,rcp85,2020,0.00230911289207,0.000309091642322,0.00099002510807,0.00224616730615
crime,property,rcp26,2080,0.00266389144679,0.000300349677311,7.4253590741e-05,0.0027105729761
crime,property,rcp45,2080,0.00324948648495,0.000365457184538,0.00012755431688,0.00332922282062
health,mortage1to44,rcp26,2040,5.31058023354e-06,4.55930779769e-07,1.05876951519e-06,4.85264998856e-06
health,mortage45to64,rcp60,2080,2.10511626717e-05,1.5926693069e-06,1.22619857472e-05,2.53149269036e-05
yields,wheat,rcp60,2080,0.0353979129696,0.00333799295577,0.034466195579,0.0568162368246
yields,total,rcp85,2080,0.238007360406,0.00469901674113,0.0246663375418,0.2332101834
labor,lowproductivity,rcp60,2080,0.000706695437628,0.000101889958367,0.000657120540352,0.000916003541823
health,mortage0to0,rcp45,2040,1.71447523094e-05,3.29226462719e-06,1.02342927482e-05,2.0804961672e-05
yields,totalnoco2,rcp60,2020,0.0438987099819,0.00857342102635,0.00715309919626,0.0431692077171
health,mortage45to64,rcp60,2040,1.53598812101e-05,2.15451394921e-06,2.14435312921e-06,1.60587298278e-05
health,mortage65toinf,rcp85,2020,0.000193957131349,2.24812309156e-05,4.57343552331e-05,0.000198781950829
yields,total,rcp85,2040,0.0991029473455,0.00757681610797,0.00793971904836,0.0977781935923
yields,total,rcp26,2020,0.0469002302283,0.0067094416804,0.00694814062737,0.0444458752849
yields,cottonnoco2,rcp60,2040,0.0512035389709,0.00594622439292,0.0227495320502,0.0585726142994
yields,grains,rcp26,2020,0.0401069072093,0.00640682335711,0.00875262109343,0.0396025337428
health,mortality,rcp85,2040,2.85207669974e-05,3.94832008142e-06,3.4014529895e-05,3.79189117138e-05
yields,maizenoco2,rcp26,2040,0.0755858900171,0.00584615520418,0.023041041376,0.0751920957864
health,mortality,rcp60,2040,2.70241041585e-05,5.1866521189e-06,7.63834905814e-06,3.2218121867e-05
yields,cotton,rcp60,2080,0.146652714158,0.00811567445561,0.0832301613186,0.163121079506
yields,oilcropnoco2,rcp26,2040,0.0692528814794,0.00611482185245,0.0194338708911,0.0683333105657
yields,oilcrop,rcp85,2040,0.126659293614,0.011537835677,0.013773165213,0.125021593369
health,mortage65toinf,rcp60,2020,0.000174701104411,2.40612115604e-05,2.00547237588e-05,0.000180942663531
labor,lowproductivity,rcp85,2080,0.00189145788149,9.3414775305e-05,0.0024277915068,0.00258690511731
health,mortality,rcp60,2020,2.41413940373e-05,5.64564171711e-06,2.0370362336e-06,2.75500815479e-05
yields,wheatnoco2,rcp26,2020,0.0160425802194,0.001667746559,0.00449467443946,0.0175604092682
yields,cottonnoco2,rcp45,2040,0.0594901282772,0.0062439910033,0.185468538249,0.0722585793652
