fips,PST045213,PST045212,PST040210,PST120213,PST120212,POP010210,AGE135212,AGE295212,AGE775212,SEX255212,RHI125212,RHI225212,RHI325212,RHI425212,RHI525212,RHI625212,RHI725212,RHI825212,POP715212,POP645212,POP815212,EDU635212,EDU685212,VET605212,LFE305212,HSG010212,HSG445212,HSG096212,HSG495212,HSD410212,HSD310212,INC910212,INC110212,PVY020212,BZA010211,BZA110211,BZA115211,NES010211,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030212,LND110210,POP060210
26155,0,69232,70648,0,-2.0,70648,5.2,22.9,15.4,50.6,97.1,0.6,0.5,0.5,0.1,1.3,2.6,94.8,86.5,1.1,2.7,89.9,14.5,5604,28.4,30178,78.2,12.1,114500,27378,2.55,22957,47106,14.4,1158,12389,0.1,4181,5388,0.0,0.0,0.0,0.0,0.0,28.7,409484,0,614745,8568,57479,19,530.67,133.1
26157,0,54662,55729,0,-1.9,55729,5.3,22.4,17.2,49.9,96.8,1.2,0.5,0.3,0.0,1.1,3.0,94.0,87.3,0.9,2.8,85.4,12.8,4548,29.7,24332,81.9,8.0,101000,21243,2.57,20611,43463,15.7,883,9099,4.7,3516,4377,0.0,0.0,0.8,0.0,0.0,0.0,581524,283100,432316,7624,24671,17,803.13,69.4
26159,0,75454,76258,0,-1.1,76258,6.5,24.9,14.9,50.5,91.6,4.3,1.3,0.5,0.0,2.3,10.6,82.1,90.2,4.7,9.9,84.8,18.4,6505,24.4,36684,78.6,11.3,122300,28378,2.60,22126,44425,18.9,1300,15395,-4.1,4689,5837,0.0,0.7,0.0,0.0,0.0,27.2,1312898,0,556714,7145,80514,69,607.47,125.5
26161,0,350946,344791,0,1.8,344791,5.2,19.9,11.1,50.6,75.2,12.9,0.4,8.2,0.0,3.2,4.3,71.7,76.7,11.4,14.3,93.9,50.8,17294,23.1,147738,61.5,33.5,200300,134883,2.41,32853,59063,14.6,7889,134317,1.3,27591,32615,7.5,0.0,4.9,0.0,0.0,33.1,5331756,3630996,3681086,10584,613520,276,705.97,488.4
26163,0,1792365,1820575,0,-1.5,1820584,6.5,24.5,13.2,51.9,54.4,40.1,0.5,2.8,0.0,2.2,5.5,49.8,85.4,7.7,12.4,83.8,20.8,110566,24.9,817908,65.5,22.9,97100,674263,2.67,22210,41504,23.8,32199,579596,2.1,128614,137728,28.6,0.8,3.7,0.2,1.9,36.7,55896948,26102859,17275751,8720,3112369,857,612.08,2974.4
26165,0,32608,32735,0,-0.4,32735,6.2,23.4,16.8,50.1,96.7,0.4,0.7,0.6,0.1,1.5,1.7,95.3,85.3,1.1,3.3,88.0,15.9,3157,21.0,16698,77.1,9.8,105200,12305,2.63,20350,40660,17.7,822,12608,0.0,2325,2632,0.0,0.0,0.0,0.0,0.0,0.0,0,157398,525400,16573,48791,29,565.00,57.9
27000,5420380,5379646,5303925,2.2,1.4,5303925,6.5,23.7,13.6,50.3,86.5,5.5,1.3,4.4,0.1,2.2,4.9,82.4,85.5,7.2,10.6,91.9,32.2,377522,22.7,2361352,73.0,21.6,194300,2101875,2.46,30656,59126,11.2,144606,2393746,1.5,387440,496657,2.5,0.6,2.3,0.0,1.0,26.8,107563060,82878056,71384103,13751,10423660,16095,79626.74,66.6
27001,0,15927,16202,0,-1.7,16202,4.4,17.4,28.5,49.3,95.4,0.4,2.5,0.2,0.0,1.5,1.0,94.7,90.6,1.2,3.0,89.5,14.6,2185,25.6,16167,82.6,4.7,173400,7761,2.05,24593,41191,12.6,399,2979,-5.8,1148,2202,0.0,0.0,0.0,0.0,0.0,0.0,0,53507,147509,9211,19708,69,1821.66,8.9
27003,0,336414,330844,0,1.7,330844,6.4,25.0,10.8,50.0,87.7,4.8,0.8,4.1,0.0,2.5,3.8,84.5,87.8,6.8,10.3,93.3,26.2,23577,27.7,127997,81.9,13.3,203700,121596,2.70,30299,69916,7.1,7207,105135,2.2,21862,29240,2.3,1.0,3.2,0.0,1.1,26.5,6460209,7335912,3738881,11435,374922,1051,423.01,782.1
27005,0,33000,32504,0,1.5,32504,6.4,24.3,18.3,50.0,88.2,0.4,7.7,0.5,0.0,3.2,1.5,87.2,88.9,1.5,4.3,89.9,21.3,3385,22.5,18984,79.7,9.5,170500,13454,2.39,25371,49159,11.8,955,11146,-5.4,2883,3637,0.0,2.3,0.0,0.0,0.0,22.5,284757,88443,373467,11723,43449,120,1315.20,24.7
27007,0,45375,44442,0,2.1,44442,7.7,25.4,13.7,50.0,74.9,0.7,20.3,0.8,0.1,3.3,1.7,74.0,85.0,2.2,5.9,89.7,28.0,3565,19.2,20594,70.8,14.1,147600,16688,2.56,21736,44038,20.7,1147,13747,-0.8,3026,4667,0.0,2.6,0.0,0.0,0.0,19.5,279841,0,627360,14510,65600,127,2504.94,17.7
27009,0,38865,38451,0,1.1,38451,7.0,24.4,12.8,49.9,94.7,2.3,0.4,1.1,0.0,1.5,1.8,93.1,84.2,1.8,3.4,90.4,20.2,2865,22.2,16214,71.0,23.3,160500,15421,2.44,24330,51365,14.6,897,14440,3.3,2613,3210,0.0,0.0,0.0,0.0,0.0,22.6,839106,513024,495214,12524,42112,185,408.30,94.2
27011,0,5164,5269,0,-2.0,5269,5.8,20.8,25.4,51.0,98.1,0.3,0.5,0.2,0.0,0.9,1.0,97.3,90.2,0.7,4.2,89.9,15.4,501,17.8,3117,79.8,11.2,85700,2329,2.19,24614,45545,12.9,178,1587,-1.6,388,0,0.0,0.0,0.0,0.0,0.0,0.0,0,185824,32850,6147,0,5,499.02,10.6
27013,0,65091,64013,0,1.7,64013,5.7,19.3,12.2,49.8,92.8,3.1,0.3,2.3,0.0,1.5,2.8,90.3,79.5,3.7,6.0,94.0,30.8,4255,16.9,26466,66.6,26.8,161700,24259,2.48,24785,49306,19.4,1919,34283,0.7,3978,5998,0.0,0.0,1.1,0.0,0.0,22.5,2728744,1275912,1211463,20200,138977,452,747.84,85.6
27015,0,25425,25893,0,-1.8,25893,5.8,21.6,19.5,50.2,98.2,0.3,0.2,0.7,0.0,0.6,3.5,94.9,90.8,1.5,5.6,90.0,19.5,2300,15.0,11478,78.5,15.1,121500,10818,2.27,26321,47915,9.0,765,12145,-0.7,1711,2801,0.0,0.0,0.0,0.0,0.0,0.0,1596868,547091,301204,11618,40488,31,611.09,42.4
27017,0,35348,35386,0,-0.1,35386,5.9,23.1,15.5,48.1,89.8,1.5,5.9,0.5,0.0,2.3,1.5,88.8,89.3,1.2,4.5,91.3,21.9,3250,21.6,15702,78.5,10.5,160900,13739,2.44,24420,52943,11.9,702,7757,-3.3,2047,3205,0.0,0.9,0.0,0.0,0.0,26.9,0,0,357385,10620,32568,72,861.38,41.1
27019,0,93707,91042,0,2.9,91042,6.7,28.8,9.3,50.4,94.0,1.4,0.3,2.9,0.0,1.5,4.0,90.3,88.5,6.0,8.6,95.3,43.5,4816,25.0,35279,81.5,13.5,273600,33017,2.74,37119,83275,5.2,2328,34145,2.5,7363,9282,0.0,0.0,0.7,0.0,0.6,28.2,3149535,1484320,807141,9139,91065,536,354.33,256.9
27021,0,28357,28567,0,-0.7,28567,5.6,21.1,22.7,49.0,85.4,0.3,11.6,0.4,0.0,2.3,1.4,84.6,90.6,1.0,2.9,90.4,19.7,3431,22.2,25087,81.6,4.1,179200,12926,2.18,25097,43992,16.5,817,6467,3.9,2640,3145,0.0,1.4,0.0,0.0,0.0,19.6,0,44299,276752,9663,146417,157,2021.54,14.1
27023,0,12135,12441,0,-2.5,12441,6.0,22.8,19.7,50.9,95.7,0.6,1.0,0.6,0.9,1.2,5.2,90.7,86.3,3.6,7.1,87.4,17.0,940,17.4,5703,72.5,14.5,99300,5188,2.33,25348,46579,9.4,429,5137,-2.9,884,1349,0.0,0.0,0.0,0.0,0.0,22.2,175820,201428,168339,13563,11559,16,581.12,21.4
27025,0,53452,53887,0,-0.8,53887,5.6,24.2,12.8,48.4,96.0,1.3,0.6,0.9,0.0,1.2,1.7,94.5,88.3,1.8,3.8,92.9,19.0,3998,32.0,21172,85.1,8.0,211200,19669,2.63,27897,66592,7.6,1213,12550,-2.9,3782,6042,0.0,0.0,0.9,0.0,0.0,29.6,403091,0,428633,8586,43041,106,414.86,129.9
27027,0,60155,58999,0,2.0,58999,6.7,23.0,12.2,50.7,93.6,1.5,1.4,1.4,0.1,2.0,3.8,90.3,83.2,3.0,5.7,93.4,30.3,3602,18.4,24313,69.9,24.3,154100,22357,2.45,24171,52136,12.5,1263,16799,0.2,3836,5098,0.0,0.0,0.0,0.0,0.0,26.3,317074,0,630252,11534,58515,214,1045.37,56.4
27029,0,8703,8695,0,0.1,8695,6.5,24.3,18.9,49.5,87.1,0.3,9.1,0.4,0.0,3.1,1.4,86.3,89.0,1.0,5.0,84.9,14.1,901,25.5,4765,77.6,8.1,116500,3639,2.35,21876,41896,15.1,200,2291,5.0,707,1057,0.0,0.0,0.0,0.0,0.0,23.3,0,14153,42917,5213,0,3,998.94,8.7
27031,0,5185,5176,0,0.2,5176,4.2,16.6,22.8,50.7,87.4,0.6,8.9,0.6,0.1,2.4,1.5,86.5,86.6,2.7,7.3,93.4,36.3,589,16.6,5894,71.8,8.9,236500,2630,1.95,31713,50309,9.8,267,1974,1.1,801,914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,61860,11420,40376,53,1452.28,3.6
27033,0,11597,11687,0,-0.8,11687,6.1,23.4,22.2,50.8,94.3,0.9,0.3,2.9,0.1,1.5,6.6,88.5,90.5,4.6,8.9,85.6,18.3,911,15.4,5392,80.8,11.5,83700,4830,2.34,23186,43225,12.7,351,4554,-2.1,832,1221,0.0,0.0,0.0,0.0,0.0,0.0,636146,177207,90280,7982,8984,32,638.61,18.3
27035,0,62882,62500,0,0.6,62500,6.2,22.6,19.6,50.2,96.7,0.6,0.8,0.4,0.0,1.4,1.2,95.8,86.1,1.4,2.1,92.1,22.0,6027,21.3,40449,75.0,10.7,184000,26916,2.29,26285,46822,13.4,2026,24886,0.6,5047,7171,0.0,0.0,0.0,0.0,0.0,26.0,0,278685,1141915,18535,149594,310,999.10,62.6
27037,0,405088,398552,0,1.6,398552,6.7,25.4,11.1,50.8,87.0,5.2,0.5,4.7,0.1,2.6,6.3,81.5,87.4,8.1,11.0,94.7,38.4,28443,24.1,161148,76.9,21.1,229400,153160,2.59,34702,73288,6.4,9835,163548,1.9,27616,36982,2.8,0.0,2.7,0.1,1.8,28.3,12930085,4415457,5163980,13231,614280,1022,562.17,709.0
27039,0,20231,20087,0,0.7,20087,6.9,28.2,12.7,50.2,97.5,0.5,0.3,0.5,0.0,1.1,4.6,93.4,92.1,2.0,4.8,91.7,22.0,1517,23.3,7976,86.2,8.4,160400,7358,2.70,28270,66959,7.3,418,3997,-1.5,1372,1815,0.0,0.0,0.0,0.0,0.0,31.8,0,244797,91773,4727,11799,50,439.28,45.7
27041,0,36415,36009,0,1.1,36009,5.6,21.2,20.7,50.1,97.7,0.5,0.3,0.5,0.0,0.9,1.2,96.7,86.1,1.1,2.7,92.4,23.6,3412,18.7,20297,75.2,14.6,190500,15919,2.23,26778,50365,10.3,1326,16040,1.7,3271,3768,0.0,0.0,0.0,0.0,0.0,13.5,688179,0,625509,17390,71018,89,637.30,56.5
27043,0,14263,14553,0,-2.0,14553,5.7,21.9,22.3,50.3,97.9,0.4,0.5,0.3,0.0,0.8,5.9,92.4,90.6,1.9,5.5,89.6,16.6,1401,19.8,7067,79.8,10.5,87000,6340,2.23,24690,43835,12.4,457,4321,4.3,1144,1616,0.0,0.0,0.0,0.0,0.0,31.4,408570,142934,116717,7861,10517,14,712.48,20.4
27045,0,20834,20866,0,-0.2,20866,6.3,23.4,19.8,50.0,98.4,0.3,0.1,0.4,0.0,0.7,1.0,97.6,89.8,1.1,5.8,88.1,18.5,1718,26.1,9769,79.0,10.3,136400,8525,2.39,24859,48717,12.9,624,4680,-5.6,1714,1936,0.0,0.0,0.0,0.0,0.0,15.5,377422,116089,176767,8404,14499,69,861.30,24.2
27047,0,31054,31255,0,-0.6,31255,5.8,21.8,20.7,50.3,96.4,1.0,0.4,1.0,0.1,1.1,9.1,87.9,88.9,2.5,6.4,87.8,14.3,2956,18.1,14217,76.9,14.1,107900,13297,2.30,25645,43962,11.8,812,11148,-0.7,1956,2827,0.0,0.0,0.0,0.0,0.0,21.8,766952,412074,492110,15755,33762,38,707.09,44.2
