fips,own_code,av_11,av_21,av_22,av_23,av_31,av_42,av_44,av_48,av_51,av_52,av_53,av_54,av_55,av_56,av_61,av_62,av_71,av_72,av_81,av_92
"01091",1,,,,,,,,41.33333,,,,19.83333,,,,,,,,17.66667
"01091",3,,,11.8,,,,,9.333333,,,0,,,0,661.1667,550,,,,288.5
"01093",3,,,49.16667,,,,,0,0,,29.2,,,,678.5,,,0,,274.1667
"01093",5,83.4,28.4,0,201.8333,4724.667,56,973.5,255,47.66667,357.6667,29.16667,380.8333,0,55.66667,,1156.5,24.6,423.2,150.3333,
"01093",2,,,,,,,0,,,,,,,,0,0,,,,36.8
"01093",1,,,,,,,,57.5,,,,,,,,,,,,33.83333
"01095",3,,,144.2,,,,,47.2,0,,85,,,0,1976,1175.5,,109.8333,11,925.3333
"01095",1,,,24.16667,,,,,150.6667,,.3333333,,15.66667,,,,,,,,101.1667
"01095",2,,,,,,,0,,,,,,,,0,1.4,,,,319.3333
"01095",5,0,0,108.8,1360.667,12185.33,1592,4955.667,778.2,752,890,419,395,17.8,1505.167,99.5,1695.667,234.8333,2242.667,577.3333,
"01097",2,,,,,,,55.16667,0,,,,,,,3566.5,3517.667,0,,,1345.333
"01097",5,886.3333,451.5,633.2,11574.67,16549.17,7799.333,21504.33,4359.833,2663.167,5551.5,3306.333,7899.167,397.8333,12027.17,1801.667,17690.83,1361.667,12905.33,6131.667,
"01097",3,,,339,,,,,305.6,0,,0,,,205.6667,0,0,15.6,0,0,5024.333
"01097",1,,,,,,,,933.6667,,.8333333,,659.3333,,,,,,,,925.1667
"01099",1,,,,,,,,43,,3,,3.5,,,,,,,,13.66667
"01099",5,0,0,34.4,110.5,3298.167,212.6,874.1667,916.1667,108.1667,177.8333,33.5,42.4,29.8,148.8333,0,0,0,0,148.3333,
"01099",2,,,,,,,,,,,,,,,0,,,,,0
"01099",3,,,13.4,,,,,0,0,,0,,,0,0,0,,,,268.3333
"01101",5,260.5,87.83334,602,6201.667,11958.5,5534,14144.17,4431.167,2645.667,7024.833,2023,6107.167,622.8333,8178,2087.833,13010.5,1248.833,9385.5,4259.833,
"01101",3,,,0,,,,,0,,,0,0,,0,4046,159.8333,0,0,0,0
"01101",1,,,,,,,481.1667,920.3333,,49.33333,,8.666667,,,26.5,795.3333,126.6667,305.3333,,3897.667
"01101",2,,,,,,,0,0,12.8,0,,0,,0,2536.5,534.3333,0,,0,12266.67
"01103",3,,,139,,,,,0,7.2,,0,0,,0,2541.667,964.6,,,0,1247.333
"01103",5,87.2,88,0,3466.667,12687.83,1383,5902.5,0,437.6667,1626.5,489.1667,1017.833,255.6667,3144.667,64.5,3673.667,279.8333,3571.833,1110,
"01103",2,,,,,,,10.8,,,,,,,,0,0,,,,468.6
"01103",1,,,6,,,,,177,,,,8,,,,5,,,,110.8333
"01105",2,,,,,,,0,,,,,,,,0,,,,,70
"01105",3,,,,,,,,,,,0,,,,0,0,,,,0
"01105",1,,,,,,,,20,,,,1,,,,,,,,10.16667
"01105",5,15.4,0,4,51.33333,596.3333,0,254.3333,2.8,0,58.8,12.2,5.2,,4,229.6,291,,117.1667,0,
"01107",5,0,0,0,126,854.6667,91.83334,523.3333,19.2,21.4,181.5,29.66667,17.33333,0,0,0,0,16.4,124.6,126.8333,
"01107",1,,,,,,,,43.33333,,,,8.833333,,,,,,,,6
"01107",3,,,29.2,,,,,,0,,14,,,,491.8333,,,,0,233
"01107",2,,,,,,,,,,,,,,,0,,,,,0
"01109",1,,,,,,,,53.5,,,,,,,,,,,,23.66667
"01109",2,,,,,,,0,,,,,,,,0,0,,,,311.5
"01109",5,88,,0,539,2349,0,1655.5,1381.833,139.1667,356,98.83334,138,72.8,115.6,45.16667,901,37.33333,1142.333,185.8333,
"01109",3,,,0,,,,,,,,0,,,,700.8333,46.83333,,,,475.8333
"01111",3,,,0,,,,,,,,0,,,,203.2,87.4,,,,237.8333
"01111",5,0,0,0,106.5,1906.667,0,682.1667,184.6667,58.66667,151.1667,41.33333,46.5,,80.83334,0,0,12,363.8,73.33334,
"01111",1,,,,,,,,44,,,,,,,,,,,,9.666667
"01111",2,,,,,,,,,,,,,,,0,,,,,0
"01113",5,0,0,80.2,842.5,3086.167,130.4,1967.167,199,112.8333,333.1667,176.1667,198.3333,8.8,151,11.8,609.6,59.66667,1175.5,332.8333,
"01113",3,,,0,,,,,0,0,,0,,,,1138.833,,,0,49.4,0
"01113",2,,,,,,,0,,,,,,,,0,,,,,187.1667
"01113",1,,,,,,,,77.66666,,,,,,,,,,,9,11.66667
"01115",1,,,,,,,,108.6667,,,,,,,,,,,,4.166667
"01115",2,,,,,,,0,,,,,,,,0,0,,,,412.6667
"01115",3,,,29.33333,,,,,94.66666,0,,0,,,0,1296.333,,,,0,578.5
"01115",5,0,0,77.33334,1122.833,2360.5,1027.5,2139.333,208,134,358.5,124.1667,156.8,63.4,359.3333,1,251.6,52.33333,1374.833,297.3333,
"01117",3,,,58,,,,,,9.2,,0,,,0,3259,119.5,,,0,1445.5
"01117",5,173.8333,291.5,1049.5,4946.833,7168.167,3750.667,5897.667,675.5,873.6667,3023,900.6667,2957,522.1667,2922.167,403.5,3910.833,595,4014.833,1731.833,
"01117",1,,,,,,,,209.1667,,15.5,,26.66667,,,,,,,,40.33333
"01117",2,,,,,,,2.2,0,,,,0,,,0,1.8,,,,340.8333
"01119",1,,,,,,,,34.16667,,,,6.5,,,,,,,,4
"01119",5,40.83333,0,18.4,89.33334,566.1667,155.3333,477.3333,140.6,28,75,25.5,0,0,219.3333,0,0,17.6,231.4,61.83333,
"01119",3,,,0,,,,,,,,0,,,,0,0,,,,261
"01119",2,,,,,,,0,,,,,,,,0,,,,,140.5
"01121",5,26.4,281,125.2,1115.667,9328.167,550.2,3035.833,472.3333,190.5,636.3333,190.6667,403.2,39,728.8333,33.4,504.2,205.6667,1734.5,692,
"01121",3,,,81.16666,,,,,0,0,,79.2,,,0,1740.333,103.8333,0,9.4,0,741.1667
"01121",1,,,,,,,,116.5,,3.5,,,,,,,,,,378.8333
"01121",2,,,,,0,,10,,,,,,,,0,18.6,0,,,343.3333
"01123",1,,,,,,,,68.16666,,,,,,,,,,,,38.83333
"01123",3,,,0,,,,,0,0,,0,,,0,897,,,,,534.6667
"01123",5,0,0,44.2,529.8333,4886.833,435,1643,149,135.8333,391,108.6667,183.8,62.2,645.6667,0,0,218.3333,935.1667,245.1667,
"01123",2,,,,,,,0,,,,,,,,0,,,,,305.5
"01125",2,,,,,,,19,,,,,0,,,0,0,0,,,671.1667
"01125",5,275,2157.167,333.3333,5554.5,12191.33,1736,9678.667,1814.333,1037.167,1777.833,1071.167,2285.833,267.5,2638.667,664.8333,4947,604.1667,6944.5,2252.667,
"01125",3,,,10.4,,,,,0,0,,0,,,0,3645,4120.2,180.8333,,,1995.333
"01125",1,,,,,,,14.83333,315,,12.83333,,58.33333,,,,866.8333,,,,165.5
"01127",2,,,,,,,0,,,,,,,,0,0,,,,0
"01127",1,,,,,,,,147.3333,,,,,,,,3.25,,,,51.5
"01127",3,,,108.8333,,,,,,0,,17.4,,,0,0,0,,,,667.8333
"01127",5,207.1667,404.1667,178.6,636,1763,145,3636.667,475.5,194.3333,596.3333,173.8333,406.3333,169.4,138.6,0,0,107.1667,1553.167,545.5,
"01129",3,,,5,,,,,0,0,,0,0,,0,301,111.2,,,,171.3333
"01129",1,,,,,,,,37.83333,,,,,,,,,,,,3
"01129",2,,,,,,,,,,,,,,,0,,,,,0
"01129",5,0,0,145,282.3333,1464.5,24,272.1667,90.33334,8.2,0,0,33.16667,0,98,0,0,0,4.8,14.6,
"01131",3,,,,,,,,0,0,,,,,,0,0,,,0,254.8333
"01131",5,219,,0,184.6667,901.5,69.66666,288.1667,0,48,101.4,12.4,11,0,.8,8.8,45.6,0,83.83334,87,
"01131",2,,,,,,,0,,,,,,,,0,,,,,127.5
"01131",1,,,,,,,,40.83333,,6.166667,,50.16667,,,,,,,,2.833333
"01133",1,,,,,,,,54.16667,,,,,,,,,,,,36.66667
"01133",2,,,,,,,0,,,,,,,,0,,,,,19.8
"01133",5,11.83333,0,0,179.1667,4315.5,397.5,833.5,0,79.33334,236.6667,85.16666,26.16667,0,148.2,0,0,16,147.4,78.83334,
"01133",3,,,0,,,,,0,,,0,,,0,604.3333,,,30.66667,,248.3333
"01999",3,,,,,,,,,0,,,,,,0,0,0,,,0
"01999",5,149.8,285.2,0,0,0,10344,3320.6,0,931.4,1030.6,324.6,5062.4,76,8343,606.2,1482.6,30,840,1085.8,
"01999",2,,,,,,,0,,,,,0,,,0,0,,,,3.8
"01999",1,,,,,,,,,,,,,,,,,,,,148
"02000",2,,,,,0,,,0,,,319,0,,,4218,,,,,15133.83
"02000",5,982.8333,8331.667,1739.833,16326.17,11957,6232.667,34166,18970.17,7085.667,8250,4576.833,10894,2096.5,10906.17,2015.667,28903.67,3927.833,25282.83,8143.333,
"02000",3,,,74.16666,86.4,0,,0,0,0,,0,0,,,19988.83,1401.833,0,0,0,13900.5
"02000",1,,,,,,,1095,3092.667,5.6,37.83333,42.83333,946.3333,,3.333333,15.66667,821.8333,1515.5,217.3333,137.8333,9061.5
"02013",3,,,,0,,,,,,,,,,,53.4,,,,,139.3333
"02013",5,0,,0,0,495.4,7.2,41.83333,0,0,33.8,0,0,,,,0,,15.2,0,
"02013",1,,,,,,,,13.16667,,,,4.833333,,,,,,,,6.5
"02013",2,,,,,,,,,,,,,,,,,,,,10.2
"02016",5,9,,0,29.4,1868.333,0,187.3333,258.5,16.8,35.4,35.4,1.8,,19.2,,89.5,0,8.166667,61.33333,
"02016",1,,,,,,,0,10,,,,8.666667,,,,,,,,7.666667
