fips,av_11,av_21,av_22,av_23,av_31,av_42,av_44,av_48,av_51,av_52,av_53,av_54,av_55,av_56,av_61,av_62,av_71,av_72,av_81,av_92
"02013",0,0,0,0,495.4,7.2,41.83333,13.16667,0,33.8,0,4.833333,0,0,53.4,0,0,15.2,0,156.0333
"02016",9,0,0,29.4,1868.333,0,187.3333,268.5,16.8,35.4,35.4,10.46667,0,19.2,50.8,89.5,0,8.166667,61.33333,308.9
"02020",140.1667,2573.667,501.1667,8286.167,1811.167,4492.667,17736.83,12020.17,4576.1,5072.667,2672.667,8685.667,1596,6715.333,1186.5,15637.33,2351.5,12675.33,4881.167,10969.5
"02050",0,0,114.6,166.1667,0,36.4,588.8333,378.6667,93.5,226.5,149.5,9.1,0,46.16667,1377.667,10,53.66667,62.16667,424.8333,914
"02060",0,0,0,22.8,177.2,0,25.83333,121.1667,0,0,0,3,0,0,0,0,29.2,0,0,60.1
"02068",0,0,0,12.4,0,0,46.66667,5.333333,0,0,0,1.4,0,0,0,14.2,191.1667,689.2,15.23333,84.3
"02070",0,0,0,16,252.4,0,188.8333,123.5,0,.6666667,0,.6,0,2,0,255.3667,0,19.2,74.83334,270.2667
"02090",12.2,374.6,212.5,2357.833,538.5,560.8333,4593.5,2656.667,397.8333,731.6667,459.3333,1154.833,9.6,201.4,193.6667,3658.833,842.6667,3558.5,1476.5,3582.167
"02100",0,0,0,38.4,31,0,114.6667,90.16667,20.6,0,0,.6,0,2.2,0,37.16667,82.66666,101.1667,33.83333,27.96667
"02110",0,0,0,853.3333,242.3333,0,1919.167,1018.5,316.5,283.3333,260.8333,340.3333,11.8,157.2,15.8,1534,466,1208,562.1667,4445.667
"02122",82.5,1215.833,228.5,1115.167,1222.833,236.8333,2316.833,914.8333,244.5,264,167.8,115.6667,8.2,551.6667,1589.133,2039.033,361.3333,1951.5,596.1667,1969.333
"02130",126.1667,0,0,327.1667,563,0,989.5,654.8334,92.66666,220.6667,81.33334,75.66667,0,39.8,13.4,508.1333,132.5,571.8333,144.6667,1390.133
