ANSI,NAME,REGION
8071,"Las Animas County, CO","SWE"
8073,"Lincoln County, CO","SWE"
8075,"Logan County, CO","SWE"
8077,"Mesa County, CO","SWE"
8079,"Mineral County, CO","SWE"
8081,"Moffat County, CO","SWE"
8083,"Montezuma County, CO","SWE"
8085,"Montrose County, CO","SWE"
8087,"Morgan County, CO","SWE"
8089,"Otero County, CO","SWE"
8091,"Ouray County, CO","SWE"
8093,"Park County, CO","SWE"
8095,"Phillips County, CO","SWE"
8097,"Pitkin County, CO","SWE"
8099,"Prowers County, CO","SWE"
8101,"Pueblo County, CO","SWE"
8103,"Rio Blanco County, CO","SWE"
8105,"Rio Grande County, CO","SWE"
8107,"Routt County, CO","SWE"
8109,"Saguache County, CO","SWE"
8111,"San Juan County, CO","SWE"
8113,"San Miguel County, CO","SWE"
8115,"Sedgwick County, CO","SWE"
8117,"Summit County, CO","SWE"
8119,"Teller County, CO","SWE"
8121,"Washington County, CO","SWE"
8123,"Weld County, CO","SWE"
8125,"Yuma County, CO","SWE"
9001,"Fairfield County, CT","NAC"
9003,"Hartford County, CT","NEA"
9005,"Litchfield County, CT","NEA"
9007,"Middlesex County, CT","NAC"
9009,"New Haven County, CT","NAC"
9011,"New London County, CT","NAC"
9013,"Tolland County, CT","NEA"
9015,"Windham County, CT","NEA"
10001,"Kent County, DE","NAC"
10003,"New Castle County, DE","NAC"
10005,"Sussex County, DE","NAC"
11001,"District of Columbia, DC","NAC"
12001,"Alachua County, FL","SEA"
12003,"Baker County, FL","SEA"
12005,"Bay County, FL","GLF"
12007,"Bradford County, FL","SEA"
12009,"Brevard County, FL","SAC"
12011,"Broward County, FL","SAC"
12013,"Calhoun County, FL","SEA"
12015,"Charlotte County, FL","GLF"
12017,"Citrus County, FL","GLF"
12019,"Clay County, FL","SAC"
12021,"Collier County, FL","GLF"
12023,"Columbia County, FL","SEA"
12027,"DeSoto County, FL","GLF"
12029,"Dixie County, FL","GLF"
12031,"Duval County, FL","SAC"
12033,"Escambia County, FL","GLF"
12035,"Flagler County, FL","SAC"
12037,"Franklin County, FL","GLF"
12039,"Gadsden County, FL","SEA"
12041,"Gilchrist County, FL","GLF"
12043,"Glades County, FL","GLF"
12045,"Gulf County, FL","GLF"
12047,"Hamilton County, FL","SEA"
12049,"Hardee County, FL","SEA"
12051,"Hendry County, FL","SAC"
12053,"Hernando County, FL","GLF"
12055,"Highlands County, FL","SEA"
12057,"Hillsborough County, FL","GLF"
12059,"Holmes County, FL","GLF"
12061,"Indian River County, FL","SAC"
12063,"Jackson County, FL","SEA"
12065,"Jefferson County, FL","GLF"
12067,"Lafayette County, FL","GLF"
12069,"Lake County, FL","SAC"
12071,"Lee County, FL","GLF"
12073,"Leon County, FL","GLF"
12075,"Levy County, FL","GLF"
12077,"Liberty County, FL","GLF"
12079,"Madison County, FL","SEA"
12081,"Manatee County, FL","GLF"
12083,"Marion County, FL","GLF"
12085,"Martin County, FL","SAC"
12086,"Miami-Dade County, FL","SAC"
12087,"Monroe County, FL","GLF"
12089,"Nassau County, FL","SAC"
12091,"Okaloosa County, FL","GLF"
12093,"Okeechobee County, FL","SEA"
12095,"Orange County, FL","SAC"
12097,"Osceola County, FL","SEA"
12099,"Palm Beach County, FL","SAC"
12101,"Pasco County, FL","GLF"
12103,"Pinellas County, FL","GLF"
12105,"Polk County, FL","SEA"
12107,"Putnam County, FL","SAC"
12109,"St. Johns County, FL","SAC"
12111,"St. Lucie County, FL","SAC"
12113,"Santa Rosa County, FL","GLF"
12115,"Sarasota County, FL","GLF"
12117,"Seminole County, FL","SAC"
12119,"Sumter County, FL","SEA"
12121,"Suwannee County, FL","SEA"
12123,"Taylor County, FL","GLF"
12125,"Union County, FL","SEA"
12127,"Volusia County, FL","SAC"
12129,"Wakulla County, FL","GLF"
12131,"Walton County, FL","GLF"
12133,"Washington County, FL","GLF"
13001,"Appling County, GA","SEA"
13003,"Atkinson County, GA","SEA"
13005,"Bacon County, GA","SEA"
13007,"Baker County, GA","SEA"
13009,"Baldwin County, GA","SEA"
13011,"Banks County, GA","SEA"
13013,"Barrow County, GA","SEA"
13015,"Bartow County, GA","SEA"
13017,"Ben Hill County, GA","SEA"
13019,"Berrien County, GA","SEA"
13021,"Bibb County, GA","SEA"
13023,"Bleckley County, GA","SEA"
13025,"Brantley County, GA","SAC"
13027,"Brooks County, GA","SEA"
13029,"Bryan County, GA","SAC"
13031,"Bulloch County, GA","SEA"
13033,"Burke County, GA","SEA"
13035,"Butts County, GA","SEA"
13037,"Calhoun County, GA","SEA"
13039,"Camden County, GA","SAC"
13043,"Candler County, GA","SEA"
13045,"Carroll County, GA","SEA"
13047,"Catoosa County, GA","SEA"
13049,"Charlton County, GA","SAC"
13051,"Chatham County, GA","SAC"
13053,"Chattahoochee County, GA","SEA"
13055,"Chattooga County, GA","SEA"
13057,"Cherokee County, GA","SEA"
13059,"Clarke County, GA","SEA"
13061,"Clay County, GA","SEA"
13063,"Clayton County, GA","SEA"
13065,"Clinch County, GA","SEA"
13067,"Cobb County, GA","SEA"
13069,"Coffee County, GA","SEA"
13071,"Colquitt County, GA","SEA"
13073,"Columbia County, GA","SEA"
13075,"Cook County, GA","SEA"
13077,"Coweta County, GA","SEA"
13079,"Crawford County, GA","SEA"
13081,"Crisp County, GA","SEA"
13083,"Dade County, GA","SEA"
13085,"Dawson County, GA","SEA"
13087,"Decatur County, GA","SEA"
13089,"DeKalb County, GA","SEA"
13091,"Dodge County, GA","SEA"
13093,"Dooly County, GA","SEA"
13095,"Dougherty County, GA","SEA"
13097,"Douglas County, GA","SEA"
13099,"Early County, GA","SEA"
13101,"Echols County, GA","SEA"
13103,"Effingham County, GA","SAC"
13105,"Elbert County, GA","SEA"
13107,"Emanuel County, GA","SEA"
13109,"Evans County, GA","SEA"
13111,"Fannin County, GA","SEA"
13113,"Fayette County, GA","SEA"
13115,"Floyd County, GA","SEA"
13117,"Forsyth County, GA","SEA"
13119,"Franklin County, GA","SEA"
13121,"Fulton County, GA","SEA"
13123,"Gilmer County, GA","SEA"
13125,"Glascock County, GA","SEA"
13127,"Glynn County, GA","SAC"
13129,"Gordon County, GA","SEA"
13131,"Grady County, GA","SEA"
13133,"Greene County, GA","SEA"
13135,"Gwinnett County, GA","SEA"
13137,"Habersham County, GA","SEA"
13139,"Hall County, GA","SEA"
13141,"Hancock County, GA","SEA"
13143,"Haralson County, GA","SEA"
13145,"Harris County, GA","SEA"
13147,"Hart County, GA","SEA"
13149,"Heard County, GA","SEA"
13151,"Henry County, GA","SEA"
13153,"Houston County, GA","SEA"
13155,"Irwin County, GA","SEA"
13157,"Jackson County, GA","SEA"
13159,"Jasper County, GA","SEA"
13161,"Jeff Davis County, GA","SEA"
13163,"Jefferson County, GA","SEA"
13165,"Jenkins County, GA","SEA"
13167,"Johnson County, GA","SEA"
13169,"Jones County, GA","SEA"
13171,"Lamar County, GA","SEA"
13173,"Lanier County, GA","SEA"
13175,"Laurens County, GA","SEA"
13177,"Lee County, GA","SEA"
13179,"Liberty County, GA","SAC"
13181,"Lincoln County, GA","SEA"
13183,"Long County, GA","SAC"
13185,"Lowndes County, GA","SEA"
13187,"Lumpkin County, GA","SEA"
13189,"McDuffie County, GA","SEA"
13191,"McIntosh County, GA","SAC"
13193,"Macon County, GA","SEA"
13195,"Madison County, GA","SEA"
13197,"Marion County, GA","SEA"
13199,"Meriwether County, GA","SEA"
13201,"Miller County, GA","SEA"
13205,"Mitchell County, GA","SEA"
13207,"Monroe County, GA","SEA"
13209,"Montgomery County, GA","SEA"
13211,"Morgan County, GA","SEA"
13213,"Murray County, GA","SEA"
13215,"Muscogee County, GA","SEA"
13217,"Newton County, GA","SEA"
13219,"Oconee County, GA","SEA"
13221,"Oglethorpe County, GA","SEA"
13223,"Paulding County, GA","SEA"
13225,"Peach County, GA","SEA"
13227,"Pickens County, GA","SEA"
13229,"Pierce County, GA","SEA"
13231,"Pike County, GA","SEA"
13233,"Polk County, GA","SEA"
13235,"Pulaski County, GA","SEA"
13237,"Putnam County, GA","SEA"
13239,"Quitman County, GA","SEA"
13241,"Rabun County, GA","SEA"
13243,"Randolph County, GA","SEA"
13245,"Richmond County, GA","SEA"
13247,"Rockdale County, GA","SEA"
13249,"Schley County, GA","SEA"
13251,"Screven County, GA","SEA"
13253,"Seminole County, GA","SEA"
13255,"Spalding County, GA","SEA"
13257,"Stephens County, GA","SEA"
13259,"Stewart County, GA","SEA"
13261,"Sumter County, GA","SEA"
13263,"Talbot County, GA","SEA"
13265,"Taliaferro County, GA","SEA"
13267,"Tattnall County, GA","SEA"
13269,"Taylor County, GA","SEA"
13271,"Telfair County, GA","SEA"
13273,"Terrell County, GA","SEA"
13275,"Thomas County, GA","SEA"
13277,"Tift County, GA","SEA"
13279,"Toombs County, GA","SEA"
13281,"Towns County, GA","SEA"
13283,"Treutlen County, GA","SEA"
13285,"Troup County, GA","SEA"
13287,"Turner County, GA","SEA"
13289,"Twiggs County, GA","SEA"
13291,"Union County, GA","SEA"
13293,"Upson County, GA","SEA"
13295,"Walker County, GA","SEA"
13297,"Walton County, GA","SEA"
13299,"Ware County, GA","SEA"
13301,"Warren County, GA","SEA"
13303,"Washington County, GA","SEA"
13305,"Wayne County, GA","SAC"
13307,"Webster County, GA","SEA"
13309,"Wheeler County, GA","SEA"
13311,"White County, GA","SEA"
13313,"Whitfield County, GA","SEA"
13315,"Wilcox County, GA","SEA"
13317,"Wilkes County, GA","SEA"
13319,"Wilkinson County, GA","SEA"
13321,"Worth County, GA","SEA"
15001,"Hawaii County, HI","HWI"
15003,"Honolulu County, HI","HWI"
15005,"Kalawao County, HI","HWI"
15007,"Kauai County, HI","HWI"
15009,"Maui County, HI","HWI"
16001,"Ada County, ID","NWE"
16003,"Adams County, ID","NWE"
16005,"Bannock County, ID","NWE"
16007,"Bear Lake County, ID","NWE"
16009,"Benewah County, ID","NWE"
16011,"Bingham County, ID","NWE"
16013,"Blaine County, ID","NWE"
16015,"Boise County, ID","NWE"
16017,"Bonner County, ID","NWE"
16019,"Bonneville County, ID","NWE"
16021,"Boundary County, ID","NWE"
16023,"Butte County, ID","NWE"
16025,"Camas County, ID","NWE"
16027,"Canyon County, ID","NWE"
16029,"Caribou County, ID","NWE"
16031,"Cassia County, ID","NWE"
16033,"Clark County, ID","NWE"
16035,"Clearwater County, ID","NWE"
16037,"Custer County, ID","NWE"
16039,"Elmore County, ID","NWE"
16041,"Franklin County, ID","NWE"
16043,"Fremont County, ID","NWE"
16045,"Gem County, ID","NWE"
16047,"Gooding County, ID","NWE"
16049,"Idaho County, ID","NWE"
16051,"Jefferson County, ID","NWE"
16053,"Jerome County, ID","NWE"
16055,"Kootenai County, ID","NWE"
16057,"Latah County, ID","NWE"
16059,"Lemhi County, ID","NWE"
16061,"Lewis County, ID","NWE"
16063,"Lincoln County, ID","NWE"
16065,"Madison County, ID","NWE"
16067,"Minidoka County, ID","NWE"
16069,"Nez Perce County, ID","NWE"
16071,"Oneida County, ID","NWE"
16073,"Owyhee County, ID","NWE"
16075,"Payette County, ID","NWE"
16077,"Power County, ID","NWE"
16079,"Shoshone County, ID","NWE"
16081,"Teton County, ID","NWE"
16083,"Twin Falls County, ID","NWE"
16085,"Valley County, ID","NWE"
16087,"Washington County, ID","NWE"
17001,"Adams County, IL","MWE"
17003,"Alexander County, IL","MWE"
17005,"Bond County, IL","MWE"
17007,"Boone County, IL","MWE"
17009,"Brown County, IL","MWE"
17011,"Bureau County, IL","MWE"
17013,"Calhoun County, IL","MWE"
17015,"Carroll County, IL","MWE"
17017,"Cass County, IL","MWE"
17019,"Champaign County, IL","MWE"
17021,"Christian County, IL","MWE"
17023,"Clark County, IL","MWE"
17025,"Clay County, IL","MWE"
17027,"Clinton County, IL","MWE"
17029,"Coles County, IL","MWE"
17031,"Cook County, IL","MWE"
17033,"Crawford County, IL","MWE"
17035,"Cumberland County, IL","MWE"
17037,"DeKalb County, IL","MWE"
17039,"De Witt County, IL","MWE"
17041,"Douglas County, IL","MWE"
17043,"DuPage County, IL","MWE"
17045,"Edgar County, IL","MWE"
17047,"Edwards County, IL","MWE"
17049,"Effingham County, IL","MWE"
17051,"Fayette County, IL","MWE"
17053,"Ford County, IL","MWE"
17055,"Franklin County, IL","MWE"
17057,"Fulton County, IL","MWE"
17059,"Gallatin County, IL","MWE"
17061,"Greene County, IL","MWE"
17063,"Grundy County, IL","MWE"
17065,"Hamilton County, IL","MWE"
17067,"Hancock County, IL","MWE"
17069,"Hardin County, IL","MWE"
17071,"Henderson County, IL","MWE"
17073,"Henry County, IL","MWE"
17075,"Iroquois County, IL","MWE"
17077,"Jackson County, IL","MWE"
17079,"Jasper County, IL","MWE"
17081,"Jefferson County, IL","MWE"
17083,"Jersey County, IL","MWE"
17085,"Jo Daviess County, IL","MWE"
17087,"Johnson County, IL","MWE"
17089,"Kane County, IL","MWE"
17091,"Kankakee County, IL","MWE"
17093,"Kendall County, IL","MWE"
17095,"Knox County, IL","MWE"
17097,"Lake County, IL","MWE"
17099,"LaSalle County, IL","MWE"
17101,"Lawrence County, IL","MWE"
17103,"Lee County, IL","MWE"
17105,"Livingston County, IL","MWE"
17107,"Logan County, IL","MWE"
17109,"McDonough County, IL","MWE"
17111,"McHenry County, IL","MWE"
17113,"McLean County, IL","MWE"
17115,"Macon County, IL","MWE"
17117,"Macoupin County, IL","MWE"
17119,"Madison County, IL","MWE"
17121,"Marion County, IL","MWE"
17123,"Marshall County, IL","MWE"
17125,"Mason County, IL","MWE"
17127,"Massac County, IL","MWE"
17129,"Menard County, IL","MWE"
17131,"Mercer County, IL","MWE"
17133,"Monroe County, IL","MWE"
17135,"Montgomery County, IL","MWE"
17137,"Morgan County, IL","MWE"
17139,"Moultrie County, IL","MWE"
17141,"Ogle County, IL","MWE"
17143,"Peoria County, IL","MWE"
17145,"Perry County, IL","MWE"
17147,"Piatt County, IL","MWE"
17149,"Pike County, IL","MWE"
17151,"Pope County, IL","MWE"
17153,"Pulaski County, IL","MWE"
17155,"Putnam County, IL","MWE"
17157,"Randolph County, IL","MWE"
17159,"Richland County, IL","MWE"
17161,"Rock Island County, IL","MWE"
17163,"St. Clair County, IL","MWE"
17165,"Saline County, IL","MWE"
17167,"Sangamon County, IL","MWE"
17169,"Schuyler County, IL","MWE"
17171,"Scott County, IL","MWE"
17173,"Shelby County, IL","MWE"
17175,"Stark County, IL","MWE"
17177,"Stephenson County, IL","MWE"
17179,"Tazewell County, IL","MWE"
17181,"Union County, IL","MWE"
17183,"Vermilion County, IL","MWE"
17185,"Wabash County, IL","MWE"
17187,"Warren County, IL","MWE"
17189,"Washington County, IL","MWE"
17191,"Wayne County, IL","MWE"
17193,"White County, IL","MWE"
17195,"Whiteside County, IL","MWE"
17197,"Will County, IL","MWE"
17199,"Williamson County, IL","MWE"
17201,"Winnebago County, IL","MWE"
17203,"Woodford County, IL","MWE"
18001,"Adams County, IN","MWE"
18003,"Allen County, IN","MWE"
18005,"Bartholomew County, IN","MWE"
18007,"Benton County, IN","MWE"
18009,"Blackford County, IN","MWE"
18011,"Boone County, IN","MWE"
18013,"Brown County, IN","MWE"
18015,"Carroll County, IN","MWE"
18017,"Cass County, IN","MWE"
18019,"Clark County, IN","MWE"
18021,"Clay County, IN","MWE"
18023,"Clinton County, IN","MWE"
18025,"Crawford County, IN","MWE"
18027,"Daviess County, IN","MWE"
18029,"Dearborn County, IN","MWE"
18031,"Decatur County, IN","MWE"
18033,"DeKalb County, IN","MWE"
18035,"Delaware County, IN","MWE"
18037,"Dubois County, IN","MWE"
18039,"Elkhart County, IN","MWE"
18041,"Fayette County, IN","MWE"
18043,"Floyd County, IN","MWE"
18045,"Fountain County, IN","MWE"
18047,"Franklin County, IN","MWE"
18049,"Fulton County, IN","MWE"
18051,"Gibson County, IN","MWE"
18053,"Grant County, IN","MWE"
18055,"Greene County, IN","MWE"
18057,"Hamilton County, IN","MWE"
18059,"Hancock County, IN","MWE"
18061,"Harrison County, IN","MWE"
18063,"Hendricks County, IN","MWE"
18065,"Henry County, IN","MWE"
18067,"Howard County, IN","MWE"
