"county","violent","property"
"48135",308.847222222222,502.888888888889
"48139",118.729166666667,326.666666666667
"48141",1307.70833333333,2250.27777777778
"48143",28.7777777777778,68.6111111111111
"48145",NA,NA
"48147",29.4722222222222,57.5
"48149",9.48611111111111,20.4861111111111
"48151",1.58333333333333,5.77777777777778
"48153",5.36111111111111,10.3333333333333
"48155",0.333333333333333,0.402777777777778
"48157",317.116666666667,732.6
"48159",4.45833333333333,10.6944444444444
"48161",7.29166666666667,19.7291666666667
"48163",21.1166666666667,37.6666666666667
"48165",7.21666666666667,15.25
"48167",NA,NA
"48169",2.61111111111111,5.25
"48171",7.06944444444444,27.5555555555556
"48173",NA,NA
"48175",2.08333333333333,2.83333333333333
"48177",26.1527777777778,29.1527777777778
"48179",36.4583333333333,98.8055555555556
"48181",173.805555555556,376.194444444444
"48183",300.166666666667,614.5
"48185",30.4583333333333,55.3333333333333
"48187",135.069444444444,248.180555555556
"48189",47.4861111111111,131.041666666667
"48191",1.5,5.03333333333333
"48193",3.25,7.31944444444444
"48195",2.72222222222222,4.15277777777778
"48197",3.46666666666667,5.86666666666667
"48199",NA,NA
"48201",6660.2,15586.2333333333
"48203",62.5833333333333,179.5
"48205",3.94444444444444,14.9444444444444
"48207",2.30555555555556,6.29166666666667
"48209",77.1666666666667,250.986111111111
"48211",2.27777777777778,3.54166666666667
"48213",98.625,201.291666666667
"48215",1035.30555555556,2842.13888888889
"48217",28.2333333333333,82.5333333333333
"48219",22.5416666666667,42.1388888888889
"48221",41.8333333333333,103.625
"48223",30.0694444444444,56.9027777777778
"48227",40.5833333333333,94.5833333333333
"48229",1.70833333333333,2.875
"48231",158.402777777778,310.930555555556
"48233",23.3611111111111,79.0555555555556
"48235",0.666666666666667,2.41666666666667
"48237",NA,NA
"48239",6.73611111111111,19.5138888888889
"48241",NA,NA
"48243",0.916666666666667,0.791666666666667
"48245",NA,NA
"48247",4.77083333333333,4.58333333333333
"48249",118.566666666667,182.333333333333
"48251",179.133333333333,378.766666666667
"48253",13.0416666666667,17.9861111111111
"48255",10.7361111111111,8.65277777777778
"48257",102.354166666667,243.958333333333
"48259",14.0277777777778,33.4583333333333
"48263",NA,NA
"48265",48.6111111111111,98.5972222222222
"48267",NA,NA
"48271",NA,NA
"48273",67.5,153.266666666667
"48275",3.33333333333333,5.51666666666667
"48277",131.611111111111,259.736111111111
"48279",18.6805555555556,21.0138888888889
"48281",14.75,30.1805555555556
"48283",NA,NA
"48285",12.625,23.9444444444444
"48287",16.375,22.0416666666667
"48291",NA,NA
"48293",27.6041666666667,68.0416666666667
"48295",0.944444444444444,1.125
"48297",3.28333333333333,6.9
"48299",16.8333333333333,29.8611111111111
"48303",606.680555555556,1189.45833333333
"48305",3.45833333333333,7.44444444444444
"48307",10.6666666666667,16.7083333333333
"48309",316.416666666667,1082.72916666667
"48311",NA,NA
"48315",12.5833333333333,26.0833333333333
"48317",1.11111111111111,4.33333333333333
"48319",2.13888888888889,3.09722222222222
"48323",69.0833333333333,127.583333333333
"48325",32.6805555555556,65.9722222222222
"48327",1.22222222222222,1.5
"48329",NA,NA
"48331",16.0333333333333,51.65
"48333",1.41666666666667,2.34722222222222
"48335",7.65277777777778,15.1388888888889
"48337",18.4166666666667,57
"48339",400.833333333333,841.9
"48341",30.125,43.0555555555556
"48343",11.4861111111111,26.3888888888889
"48345",0.233333333333333,0.283333333333333
"48349",70.2083333333333,173.041666666667
"48353",14.9027777777778,26.125
"48357",9.19444444444444,16.3472222222222
"48359",0.708333333333333,2.27777777777778
"48361",NA,NA
"48363",30.6111111111111,70.3611111111111
"48365",23.5,49.0833333333333
"48367",57.7916666666667,166.25
"48369",3.34722222222222,9.18055555555556
"48371",14.8333333333333,27.1666666666667
"48373",NA,NA
"48377",2.16666666666667,3.16666666666667
"48379",NA,NA
"48381",23,54.0277777777778
"48383",NA,NA
"48387",10.1388888888889,18.3611111111111
"48389",11.75,27.7638888888889
"48391",9.78333333333333,10.1833333333333
"48393",NA,NA
"48395",18.1333333333333,25.7
"48397",NA,NA
"48399",9.05,19.1
"48401",88.8333333333333,123.166666666667
"48407",NA,NA
"48409",89.8,187.55
"48411",3.45833333333333,5.97222222222222
"48413",0.583333333333333,3.08333333333333
"48415",18.7083333333333,29.0833333333333
"48417",0.486111111111111,1.40277777777778
"48419",27.8333333333333,58.3333333333333
"48421",0.902777777777778,3.20833333333333
"48423",208,616.333333333333
"48425",6.20833333333333,13.0416666666667
"48427",53.0555555555556,82.6666666666667
"48429",4.69444444444444,13.5138888888889
"48431",0.458333333333333,0.833333333333333
"48433",0.638888888888889,1.01388888888889
"48437",8.81944444444444,14.8472222222222
"48439",2344.26388888889,6812.20833333333
"48441",214.902777777778,474.902777777778
"48443",NA,NA
"48445",13.65,21.5166666666667
"48447",0.222222222222222,0.666666666666667
"48449",49.375,79.8888888888889
"48451",268.5,477.75
"48453",1409.98611111111,3973.08333333333
"48457",NA,NA
