Region,FIPS,County,EA,"EA Name"
"MN - Minneapolis",27109,"Olmsted County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27111,"Otter Tail County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27115,"Pine County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27121,"Pope County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27123,"Ramsey County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27127,"Redwood County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27129,"Renville County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27131,"Rice County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27139,"Scott County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27141,"Sherburne County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27143,"Sibley County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27145,"Stearns County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27147,"Steele County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27149,"Stevens County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27151,"Swift County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27153,"Todd County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27155,"Traverse County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27157,"Wabasha County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27159,"Wadena County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27161,"Waseca County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27163,"Washington County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27165,"Watonwan County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27169,"Winona County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27171,"Wright County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27173,"Yellow Medicine County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",46051,"Grant County, SD",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",46091,"Marshall County, SD",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",46109,"Roberts County, SD",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",55005,"Barron County, WI",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",55011,"Buffalo County, WI",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",55013,"Burnett County, WI",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",55017,"Chippewa County, WI",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",55033,"Dunn County, WI",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",55035,"Eau Claire County, WI",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",55091,"Pepin County, WI",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",55093,"Pierce County, WI",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",55095,"Polk County, WI",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",55107,"Rusk County, WI",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",55109,"St. Croix County, WI",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",55113,"Sawyer County, WI",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",55129,"Washburn County, WI",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MO - Kansas City",20003,"Anderson County, KS",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",20005,"Atchison County, KS",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",20043,"Doniphan County, KS",084,"Kansas City-Overland Park-Kansas City, MO-KS"
